symbol,status
BNTBUSD,TRADING
LTOBNB,BREAK
LTOBTC,TRADING
LTOUSDT,TRADING
ATOMBUSD,TRADING
DASHBUSD,TRADING
NEOBUSD,TRADING
WAVESBUSD,TRADING
XTZBUSD,TRADING
EOSBULLUSDT,BREAK
EOSBULLBUSD,BREAK
EOSBEARUSDT,BREAK
EOSBEARBUSD,BREAK
XRPBULLUSDT,BREAK
XRPBULLBUSD,BREAK
XRPBEARUSDT,BREAK
XRPBEARBUSD,BREAK
BATBUSD,TRADING
ENJBUSD,TRADING
NANOBUSD,TRADING
ONTBUSD,TRADING
RVNBUSD,TRADING
STRATBUSD,BREAK
STRATBNB,BREAK
STRATUSDT,BREAK
AIONBUSD,BREAK
AIONUSDT,TRADING
MBLBNB,TRADING
MBLBTC,BREAK
MBLUSDT,TRADING
COTIBNB,TRADING
COTIBTC,TRADING
COTIUSDT,TRADING
ALGOBUSD,TRADING
BTTBUSD,TRADING
TOMOBUSD,TRADING
XMRBUSD,TRADING
ZECBUSD,TRADING
BNBBULLUSDT,BREAK
BNBBULLBUSD,BREAK
BNBBEARUSDT,BREAK
BNBBEARBUSD,BREAK
STPTBNB,BREAK
STPTBTC,TRADING
STPTUSDT,TRADING
BTCZAR,TRADING
ETHZAR,TRADING
BNBZAR,TRADING
USDTZAR,TRADING
BUSDZAR,TRADING
BTCBKRW,BREAK
ETHBKRW,BREAK
BNBBKRW,BREAK
WTCUSDT,TRADING
DATABUSD,TRADING
DATAUSDT,TRADING
XZCUSDT,BREAK
SOLBNB,TRADING
SOLBTC,TRADING
SOLUSDT,TRADING
SOLBUSD,TRADING
BTCIDRT,TRADING
BNBIDRT,TRADING
USDTIDRT,TRADING
BUSDIDRT,TRADING
CTSIBTC,TRADING
CTSIUSDT,TRADING
CTSIBNB,TRADING
CTSIBUSD,TRADING
HIVEBNB,BREAK
HIVEBTC,TRADING
HIVEUSDT,TRADING
CHRBNB,TRADING
CHRBTC,TRADING
CHRUSDT,TRADING
BTCUPUSDT,TRADING
BTCDOWNUSDT,TRADING
GXSUSDT,TRADING
ARDRUSDT,TRADING
ERDBUSD,BREAK
LENDUSDT,BREAK
HBARBUSD,TRADING
MATICBUSD,TRADING
WRXBUSD,TRADING
ZILBUSD,TRADING
MDTBNB,BREAK
MDTBTC,TRADING
MDTUSDT,TRADING
STMXBNB,TRADING
STMXBTC,TRADING
STMXETH,TRADING
STMXUSDT,TRADING
KNCBUSD,TRADING
KNCUSDT,TRADING
REPBUSD,BREAK
