Actual Time, Return Status, Trade Time, Price 
1612759633.8285258,200,1612759633554,38577.70000000
1612759663.830241,200,1612759663469,38576.11000000
1612759693.8372471,200,1612759693411,38573.49000000
1612759723.8418844,200,1612759723516,38588.70000000
1612759753.844026,200,1612759752793,38586.94000000
1612759783.8477652,200,1612759783613,38598.10000000
1612759813.856473,200,1612759813160,38615.44000000
1612759843.8505151,200,1612759843382,38627.44000000
1612759873.8571541,200,1612759873427,38608.07000000
1612759903.8620303,200,1612759903542,38560.01000000
1612759933.765676,200,1612759933578,38569.88000000
1612759963.7667801,200,1612759962933,38558.30000000
1612759993.8735588,200,1612759993454,38562.46000000
1612760023.7745695,200,1612760023615,38537.03000000
1612760053.7800312,200,1612760053507,38568.65000000
1612760083.7801118,200,1612760083398,38605.31000000
1612760113.887174,200,1612760113546,38589.40000000
1612760143.7918687,200,1612760143534,38595.97000000
1612760173.7949986,200,1612760173545,38552.62000000
1612760203.793227,200,1612760202951,38570.82000000
1612760233.897871,200,1612760233429,38586.59000000
1612760263.7993095,200,1612760263424,38579.03000000
1612760293.8035274,200,1612760293395,38570.00000000
1612760323.8095312,200,1612760323332,38553.82000000
1612760353.8160577,200,1612760353556,38583.03000000
1612760383.8199017,200,1612760382909,38578.44000000
1612760413.820094,200,1612760413623,38597.24000000
1612760443.826288,200,1612760443439,38698.00000000
1612760473.8286617,200,1612760473601,38685.09000000
1612760503.832006,200,1612760503496,38640.96000000
1612760533.8345225,200,1612760533551,38588.20000000
1612760563.837614,200,1612760563602,38558.12000000
1612760593.8479369,200,1612760593564,38494.69000000
1612760623.8481872,200,1612760623478,38486.71000000
1612760653.8488815,200,1612760653592,38487.39000000
1612760683.8545969,200,1612760683627,38615.22000000
1612760713.8596992,200,1612760713326,38693.86000000
1612760744.2722266,200,1612760744028,38649.47000000
1612760773.8641837,200,1612760773624,38624.92000000
1612760803.865532,200,1612760803396,38591.98000000
1612760833.7740524,200,1612760833613,38567.73000000
1612760863.8775475,200,1612760863449,38553.46000000
1612760893.7801824,200,1612760893579,38534.71000000
1612760924.1939843,200,1612760923975,38532.03000000
1612760953.785571,200,1612760953601,38552.39000000
1612760984.195075,200,1612760983878,38600.00000000
1612761013.8004844,200,1612761013631,38683.24000000
1612761043.7918916,200,1612761043239,38679.76000000
1612761073.8012888,200,1612761073629,38642.83000000
1612761104.2100418,200,1612761104030,38612.25000000
1612761133.8045378,200,1612761133248,38606.58000000
1612761164.2200696,200,1612761164052,38594.38000000
1612761193.8134565,200,1612761193629,38610.56000000
1612761223.9209998,200,1612761223648,38569.63000000
1612761253.819617,200,1612761253512,38579.86000000
1612761283.8218334,200,1612761283449,38607.20000000
1612761313.8269327,200,1612761313576,38572.44000000
1612761343.830274,200,1612761343651,38576.26000000
1612761373.8359516,200,1612761373637,38576.38000000
1612761403.8361652,200,1612761403143,38587.75000000
1612761433.8422043,200,1612761433608,38580.99000000
1612761463.8475945,200,1612761463593,38568.18000000
1612761493.757138,200,1612761493371,38570.15000000
1612761523.7522764,200,1612761523518,38584.45000000
1612761553.8552318,200,1612761553307,38587.07000000
1612761583.858023,200,1612761583554,38561.91000000
1612761613.8652997,200,1612761613571,38565.89000000
1612761643.7676098,200,1612761643590,38607.00000000
1612761673.8705974,200,1612761673636,38585.62000000
1612761703.7690082,200,1612761703610,38583.92000000
1612761733.7748125,200,1612761733301,38584.56000000
1612761763.8818452,200,1612761763681,38618.23000000
1612761793.7826347,200,1612761792714,38600.09000000
1612761823.887287,200,1612761823426,38611.95000000
1612761854.2054868,200,1612761853768,38678.75000000
1612761883.7911785,200,1612761883580,38674.37000000
1612761913.7992406,200,1612761913571,38740.93000000
1612761943.9036624,200,1612761942935,38712.38000000
1612761973.8021133,200,1612761973377,38660.20000000
1612762003.8071651,200,1612762003537,38633.89000000
1612762033.8109148,200,1612762033548,38646.03000000
1612762064.0222201,200,1612762063795,38650.64000000
1612762093.818799,200,1612762093592,38635.78000000
1612762123.8212047,200,1612762123331,38630.49000000
1612762153.825485,200,1612762153639,38644.87000000
1612762183.825382,200,1612762183603,38644.35000000
1612762213.8367548,200,1612762213592,38677.17000000
1612762243.836389,200,1612762243566,38644.26000000
1612762273.840948,200,1612762273402,38645.09000000
1612762303.766266,200,1612762303548,38639.52000000
1612762333.848046,200,1612762333488,38650.76000000
1612762363.8529105,200,1612762363532,38653.00000000
1612762393.8540149,200,1612762393630,38665.12000000
1612762423.8589933,200,1612762423335,38668.07000000
1612762453.862212,200,1612762453364,38637.04000000
1612762483.8667712,200,1612762483463,38639.21000000
1612762513.7682912,200,1612762513624,38694.02000000
1612762543.8706284,200,1612762543590,38667.05000000
1612762573.872643,200,1612762573628,38661.06000000
1612762603.7773094,200,1612762603576,38679.41000000
1612762634.1871836,200,1612762634013,38693.46000000
1612762663.783236,200,1612762663547,38672.04000000
1612762693.7873316,200,1612762693635,38694.55000000
1612762723.7899833,200,1612762722792,38685.24000000
1612762754.2053773,200,1612762753696,38676.96000000
1612762783.7980263,200,1612762783485,38685.11000000
1612762813.80177,200,1612762813647,38730.45000000
1612762843.9099636,200,1612762843605,38750.14000000
1612762873.8077211,200,1612762873277,38744.69000000
1612762903.8119469,200,1612762903602,38753.08000000
1612762933.8152654,200,1612762933333,38785.90000000
1612762963.820688,200,1612762963634,38824.51000000
1612762994.2332273,200,1612762994036,38845.14000000
1612763023.827989,200,1612763023635,38864.50000000
1612763053.83157,200,1612763053609,38852.47000000
1612763083.8361986,200,1612763083586,38837.62000000
1612763113.8363485,200,1612763113579,38808.74000000
1612763143.8395233,200,1612763143009,38842.44000000
1612763173.8465977,200,1612763173653,38823.46000000
1612763203.8526664,200,1612763203560,38807.80000000
1612763233.8551197,200,1612763233584,38822.54000000
1612763263.8052955,200,1612763263537,38795.81000000
1612763293.737442,200,1612763293500,38788.35000000
1612763323.8636675,200,1612763323572,38753.03000000
